fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230721 195534	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	893	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0449355595724015	0.398868804822436	341	1371	10798	68426989.5052474	24
20230721 195812	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1380	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0565014570150902	0.74086443086558	984	5061	10457	67757395.8020989	25
20230721 200034	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1648	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.1326173438323	0.600671495492846	810	33614	13780	69009985.0074963	26
20230721 200145	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	253	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.146767798507066	0.57185325030515	453	45007	13184	66239184.4077961	27
20230721 200501	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1394	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.136482933249699	0.497537088857648	589	31629	12036	69535778.1109445	28
20230721 200905	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	651	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.111343832679409	0.557317988035004	664	55	13593	67617401.7991004	29
20230721 201149	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.123710211155559	0.561621146073932	592	28192	12127	69395731.6341829	30
20230721 201319	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	971	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.130384892669324	0.613009486165482	1024	24232	13548	69026104.9475262	31
20230721 201506	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1492	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.256847724787349	0.0508691071540743	1024	33656	11866	66911325.3373313	32
20230721 201620	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	710	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.127890676714337	0.653431882215151	641	24485	13978	69264020.9895052	33
20230721 201716	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	340	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.296010444611662	0.707238290785212	1024	10359	12111	67333086.9565217	34
20230721 202122	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1823	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0764582806697478	0.49066994420818	603	14383	12402	68431061.4692654	35
20230721 202301	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	920	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.129135084469357	0.597442607215088	652	28175	13425	69029887.5562219	36
20230721 202709	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	234	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0524208177723111	0.179649036151652	1024	64	12296	69814428.7856072	37
20230721 203057	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1158	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0335553326899991	0.0503556267351834	1024	36	13083	67999935.5322339	38
20230721 203447	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	701	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0641885000256271	0.274879965758143	1024	247	13417	69021443.778111	39
20230721 203541	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0558435952570819	0.234389816075751	1022	8914	13487	65852823.0884558	40
20230721 203725	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	456	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0553872212576374	0.0616016619924276	656	10	12832	68113595.2023988	41
20230721 203843	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	814	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.135882174592791	0.644937975151966	735	26806	13674	68526785.6071964	42
20230721 203949	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	607	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.1341281523464	0.621084989220332	702	27638	14230	69768230.8845577	43
20230721 204108	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	849	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.132726591142945	0.625678354195898	696	27476	11764	69282632.6836582	44
20230721 204305	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1368	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0986178829484255	0.614033662762669	642	22530	12545	68430067.4662669	45
20230721 204530	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	872	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.13332126335485	0.528497609462764	143	27815	13794	70445886.0569715	46
20230721 204900	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1587	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.13452334422408	0.501297850233393	18	27694	12697	69142463.2683658	47
20230721 205152	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2416	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.131340631530417	0.974637103758833	196	27774	12247	67664637.1814093	48
20230721 205456	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1355	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.129377992108355	0.472432723348391	283	25504	12975	68238898.0509745	49
20230721 205752	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1227	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.140931943135469	0.554794096250144	226	29613	13739	68738862.0689655	50
20230721 205824	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.237550290409306	0.624636599699819	13	27262	13618	63245190.4047976	51
20230721 210037	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1656	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.205360359138004	0.687201226623331	1024	21182	10682	67117898.0509745	52
20230721 210122	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	315	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.137323220806028	0.0590078118118769	485	32994	11447	66139539.7301349	53
