fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230722 142558	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	672	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.259963768305597	0.526693475162235	888	21983	11303	66925182.9085457	23
20230722 142746	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	338	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.251352200114122	0.557493655093999	858	22006	15464	66838884.5577211	24
20230722 143307	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1879	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.105679369472312	0.528940619362128	570	18785	13925	67186619.1904048	25
20230722 143500	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.229186403881558	0.415878284813083	843	20660	13756	68835508.2458771	26
20230722 143633	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	429	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.224233022988013	0.278979791541364	895	20156	14057	67083692.6536732	27
20230722 143733	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.222330412775913	0.418190720291409	830	20641	12515	65416979.0104948	28
20230722 143912	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	932	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.265672538876416	0.663429030908608	869	23425	11226	66963319.3403298	29
20230722 144047	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	269	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.24942871762878	0.440214498702492	842	12677	10510	67299985.0074963	30
20230722 144123	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.283762202412365	0.0652185921154237	786	5346	13479	63137452.7736132	31
20230722 144347	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	588	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.245199790197861	0.566309928429493	800	21506	11479	69110706.1469265	32
20230722 144512	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.248927582733371	0.608167831816968	773	21548	12123	67188661.1694153	33
20230722 144744	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1203	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.244367916138318	0.595153441886264	760	21615	11813	65525017.9910045	34
20230722 144942	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	425	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.243933170170659	0.507522721004666	863	19572	11419	67488487.2563718	35
20230722 145200	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	579	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.241393701300099	0.509305859820551	858	19167	12282	67576248.8755622	36
20230722 145432	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	693	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.240004275874714	0.485818422827084	852	18904	11472	67424239.88006	37
20230722 145736	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	899	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.230421067088178	0.501326403625263	863	18753	12647	67518430.2848576	38
20230722 150024	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	759	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.191248629028214	0.556265494791893	928	18946	13122	66989442.2788606	39
