fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230728 225611	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3717	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100135350365397	0.468669713120783	246	5941	33534	142562437.781109	23
20230728 231613	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9841	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.010011096361071	0.558435979196193	219	13855	32949	142913479.76012	24
20230728 233428	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6782	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.010000385107164	0.534481258416472	203	11283	36280	143717181.409295	25
20230728 234829	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5609	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100071192781858	0.548186608883963	191	11849	31778	143533046.476762	26
20230729 000353	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9977	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.010031401581386	0.651873799402565	167	15892	32106	143220230.884558	27
20230729 002138	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6784	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100157396981486	0.535319528694736	189	15491	35181	143175380.809595	28
20230729 002854	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2302	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100874924656697	0.689014793090141	191	1	32263	141979155.922039	29
20230729 005242	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9595	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100327680089864	0.510673645803274	206	15129	34454	143388344.827586	30
20230729 010711	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2535	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100860772931798	0.48046251355796	726	47	31687	143119209.895052	31
20230729 012008	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5225	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0101051545827528	0.505022705141532	143	11462	32427	142976751.124438	32
20230729 013510	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5502	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100223534899559	0.52461965899152	249	14431	34881	143279158.92054	33
20230729 015029	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5861	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.010161948556488	0.526895107487007	177	16555	33674	143559829.085457	34
20230729 020559	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5861	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.010161948556488	0.526895107487007	177	16555	33674	143559829.085457	35
20230729 022226	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6281	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0101192897150865	0.528923433340958	171	16640	35145	143133335.832084	36
20230729 023015	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4578	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100214826878773	0.590168349310619	1024	15350	34903	143006022.488756	37
20230729 024142	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4526	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.010092396702839	0.549723734265547	734	15195	31550	142358755.622189	38
20230729 030915	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3455	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0102485047775516	0.567222383710192	1022	30	37845	142442631.184408	39
20230729 032149	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4655	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100167181516162	0.533721358630212	177	15595	34508	142717619.190405	40
20230729 033536	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5080	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100240593458881	0.51202883715832	218	13898	35326	142914413.793103	41
20230729 035716	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8255	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100541158268045	0.527882381545894	199	13381	33311	143312877.061469	42
20230729 041017	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4592	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.010006131438135	0.451801432756082	879	7356	34432	142835874.062969	43
20230729 042242	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4616	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100389311807327	0.545330555693978	145	9785	33339	143016763.118441	44
20230729 044736	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5108	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100713114611948	0.394730057926914	558	104	35797	141758325.337331	45
20230729 045740	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	890	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100308947823113	0.583168364092118	849	247	33521	141599998.50075	46
20230729 050758	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6144	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0101530931713257	0.0103668684010009	175	13	31012	139631646.176912	47
20230729 051121	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	917	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.057080340274907	0.490316374935847	1024	13474	35806	142731685.157421	48
20230729 052618	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5715	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100334989600703	0.452573844612314	1024	15288	32119	143285578.710645	49
20230729 054038	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5143	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0102342925945952	0.536753612856579	178	10821	34256	142799856.071964	50
20230729 055842	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6844	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0101583658760661	0.478910613920618	1024	14302	32764	142777265.367316	51
20230729 061217	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4881	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0100244341822033	0.526523765233052	189	12156	31066	142997382.308846	52
