fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230730 061839	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1561	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0459560511075234	0.788117683598913	102	24057	12388	68796539.7301349	23
20230730 063854	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2731	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0479595963801522	0.562332732729757	136	49108	11826	69395403.2983508	24
20230730 064113	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	77	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0315154001665454	0.727489354479971	836	31068	13302	62900116.9415292	25
20230730 064400	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0484482163520246	0.296409896288754	64	24367	15052	65114644.6776612	26
20230730 070057	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2339	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0475319780468925	0.492975951517464	127	38666	13153	69265617.6911544	27
20230730 070930	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1288	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0472871957621633	0.638067270937633	127	9824	11782	67558647.6761619	28
20230730 072018	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2761	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.049383667761928	0.670452731848847	100	49100	10942	70002845.5772114	29
20230730 072719	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1585	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0495965480955744	0.620907609505387	140	38737	11387	69885596.7016492	30
20230730 073517	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1562	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0601751205055557	0.597790518798418	101	37260	11745	69787488.7556222	31
20230730 073744	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.021779721228641	0.641978177715177	86	47414	14016	61590680.6596702	32
20230730 074621	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	850	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0862983993293874	0.566260130445721	285	32089	11344	70053817.0914543	33
20230730 075449	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	850	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0862983993293874	0.566260130445721	285	32089	11344	70053817.0914543	34
20230730 080216	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1810	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0493986926834855	0.727687782965402	493	46353	11137	69813947.5262369	35
20230730 080729	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1086	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0596677580181053	0.673783329648511	412	43753	11798	69933556.221889	36
20230730 081751	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	953	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.059582060074777	0.558716199025355	152	8896	11944	69659034.4827586	37
20230730 082211	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0857775183806766	0.803259076867331	347	12818	11312	68923370.3148426	38
20230730 082433	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	509	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0865573032683585	0.0243856152225331	23	26248	12597	67650619.1904048	39
20230730 083305	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	955	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0862980356251038	0.575302820704983	631	37373	10511	68885950.5247376	40
20230730 083829	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1538	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0596784090551802	0.0598722609423436	92	49979	13201	69101407.7961019	41
20230730 084743	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2049	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0476609018194881	0.94878538964073	613	49713	11968	69879748.125937	42
20230730 090245	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1962	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0455515247633753	0.505589905896454	187	49931	11088	69792071.964018	43
20230730 091032	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1916	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0476188822875755	0.74168098973302	299	49564	12142	69609082.4587706	44
20230730 091609	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	950	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0600963347984018	0.88848741574057	569	18868	13244	69196155.922039	45
20230730 092229	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1436	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0861738452511096	0.695129739920619	298	44208	11952	69323190.4047976	46
20230730 092521	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.262520862265345	0.861350641282588	921	39856	10651	68427149.9250375	47
20230730 092838	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	257	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.290771732103983	0.90138518985979	827	8624	11841	64367434.7826087	48
20230730 093127	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0467072728702518	0.303665753017987	720	49692	13884	64490968.5157421	49
20230730 094233	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2856	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0440206938412283	0.785771832825048	460	41196	11366	69283889.0554723	50
20230730 094642	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.244774935914657	0.453852428904435	508	27078	11226	67602899.5502249	51
20230730 094930	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.20578711429745	0.885577820753706	815	17739	10282	68941526.2368816	52
20230730 100446	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1561	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0490146825662288	0.969180332108063	805	2496	12095	68154580.2098951	53
20230730 101149	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	530	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0664630263171972	0.499523679739902	506	9619	12348	69543706.1469265	54
20230730 101730	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.209118015595616	0.140769678655188	940	388	11385	64261971.5142429	55
20230730 102017	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	253	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.215670355113557	0.732685043802801	746	19884	12148	66172671.6641679	56
20230730 102750	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	662	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0859178188936194	0.579326129626652	576	10409	11023	69792349.3253373	57
20230730 103253	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	239	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0770308610495876	0.389421437474538	408	271	11294	68470803.5982009	58
20230730 103630	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	333	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.264546397252821	0.271462144001137	369	37180	11263	68109170.9145427	59
20230730 103849	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	246	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.296232518693182	0.117009237621215	325	16660	12325	68382901.0494753	60
20230730 104140	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	372	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.169227753611545	0.879733400202398	594	37527	12396	69787472.2638681	61
20230730 104424	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	353	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.236375633076386	0.846547731859658	885	34526	11544	67560263.868066	62
20230730 104912	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	690	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.09488360777037	0.923283758941717	560	13932	11597	68335176.9115442	63
20230730 105201	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	249	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.233410709484785	0.738464409034838	96	3148	11419	64825158.9205397	64
20230730 105750	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	499	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.103933475626019	0.48095888544077	47	9636	11530	68385352.3238381	65
20230730 110347	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	307	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.18631319142128	0.884925221831444	929	1926	12049	65718007.4962519	66
