fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230726 115330	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	818	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.241403229142015	0.846314154653861	506	19946	11745	66699272.8635682	1
20230726 115524	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.150204576581758	0.289216212350316	581	36866	13954	64560248.8755622	2
20230726 115631	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.112701092671621	0.404877383992017	19	37895	10728	64074050.9745127	3
20230726 115833	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	722	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0676770703818953	0.154016637494749	528	5150	13343	69369920.5397301	4
20230726 115948	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	698	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.253967826400257	0.653659171794683	897	27163	15254	65885796.101949	5
20230726 120134	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	679	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.197056477371137	0.0841687702866863	1012	9925	11158	68617994.0029985	6
20230726 120213	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.127479729754887	0.600073822975765	399	32137	12810	63367961.0194903	7
20230726 120326	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	552	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.209726724641813	0.752668594474251	353	15985	11640	68056671.6641679	8
20230726 120420	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0502645851003841	0.92420716492534	146	48793	13075	66057998.5007496	9
20230726 120722	1137	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1276	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.157959124502347	0.344012412075875	746	22306	10916	67963244.3778111	10
